City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,East London,ZA,2022-09-12 19:41:37,-33.0153,27.9116,58.78,61,21,11.56
68,Robertsport,LR,2022-09-12 19:41:38,6.7533,-11.3686,77.74,84,10,11.48
69,Erdemli,TR,2022-09-12 19:41:38,36.605,34.3084,79.36,80,18,4.25
70,Poronaysk,RU,2022-09-12 19:41:39,49.2167,143.1167,54.97,93,90,3.62
71,Cape Town,ZA,2022-09-12 19:41:39,-33.9258,18.4232,56.26,68,0,13.8
72,Butwal,NP,2022-09-12 19:41:39,27.7006,83.4484,76.03,88,100,7.16
73,Binga,ZW,2022-09-12 19:41:40,-17.6203,27.3414,73.24,33,0,2.42
74,Veshenskaya,RU,2022-09-12 19:41:40,49.6303,41.7334,57.47,53,100,16.33
75,Bredasdorp,ZA,2022-09-12 19:41:40,-34.5322,20.0403,48.09,78,0,6.02
76,Mawlaik,MM,2022-09-12 19:41:41,23.6333,94.4167,74.55,100,100,0.98
77,Hobart,AU,2022-09-12 19:41:41,-42.8794,147.3294,40.86,82,100,8.05
78,Ust-Maya,RU,2022-09-12 19:41:41,60.4167,134.5333,32.59,82,37,3.29
79,Lebu,CL,2022-09-12 19:41:42,-37.6167,-73.65,53.28,67,100,8.14
80,Port Lincoln,AU,2022-09-12 19:41:42,-34.7333,135.8667,53.01,82,49,14.65
81,Sorong,ID,2022-09-12 19:41:42,-0.8833,131.25,77.92,86,100,9.13
82,College,US,2022-09-12 19:41:43,64.8569,-147.8028,55.29,70,75,4.61
83,Cockburn Town,TC,2022-09-12 19:41:43,21.4612,-71.1419,83.59,74,13,10.2
84,Butaritari,KI,2022-09-12 19:41:43,3.0707,172.7902,82.18,71,9,7.61
85,Kutum,SD,2022-09-12 19:41:44,14.2,24.6667,83.16,33,93,4.45
86,Medeiros Neto,BR,2022-09-12 19:41:44,-17.3739,-40.2206,81.03,45,7,12.73
87,Namatanai,PG,2022-09-12 19:41:44,-3.6667,152.4333,77.16,77,11,8.99
88,Ushuaia,AR,2022-09-12 19:39:16,-54.8,-68.3,49.62,53,75,2.3
89,Kaitangata,NZ,2022-09-12 19:42:45,-46.2817,169.8464,41.54,90,100,5.17
90,Fairbanks,US,2022-09-12 19:40:02,64.8378,-147.7164,55.31,70,100,4.61
91,Cabo San Lucas,MX,2022-09-12 19:39:32,22.8909,-109.9124,90.7,58,0,9.22
92,Longyearbyen,SJ,2022-09-12 19:42:28,78.2186,15.6401,31.84,80,75,17.27
93,Mandeville,JM,2022-09-12 19:42:45,18.0417,-77.5071,78.82,74,89,4.03
94,Plettenberg Bay,ZA,2022-09-12 19:42:46,-34.0527,23.3716,51.66,78,0,7.36
95,Port Blair,IN,2022-09-12 19:42:46,11.6667,92.75,80.87,81,100,5.75
96,Yar-Sale,RU,2022-09-12 19:42:46,66.8333,70.8333,45.59,87,100,17.6
97,Leningradskiy,RU,2022-09-12 19:42:47,69.3833,178.4167,37.74,80,100,5.84
98,Ler,SS,2022-09-12 19:42:47,8.3018,30.1418,72.55,96,90,4.27
99,Salta,AR,2022-09-12 19:42:47,-24.7859,-65.4117,74.57,22,0,10.36
100,Kultuk,RU,2022-09-12 19:42:48,51.7208,103.6956,50.13,85,100,4.7
101,Mastic Beach,US,2022-09-12 19:42:48,40.7668,-72.8521,81.99,80,100,5.75
102,Isangel,VU,2022-09-12 19:42:48,-19.55,169.2667,76.42,78,29,8.68
103,Chunoyar,RU,2022-09-12 19:42:49,57.4467,97.3217,42.17,95,100,14.03
104,Taoudenni,ML,2022-09-12 19:42:49,22.6783,-3.9836,101.97,12,16,1.88
105,Omboue,GA,2022-09-12 19:42:50,-1.5746,9.2618,75.11,82,32,9.37
106,Qaqortoq,GL,2022-09-12 19:42:50,60.7167,-46.0333,46.15,87,100,5.08
107,Niteroi,BR,2022-09-12 19:42:50,-22.8833,-43.1036,72.61,76,100,11.5
108,Korla,CN,2022-09-12 19:42:51,41.7597,86.1469,73.98,28,6,19.04
109,Bintulu,MY,2022-09-12 19:42:51,3.1667,113.0333,75.61,94,40,3.44
110,Oksfjord,NO,2022-09-12 19:42:51,70.2396,22.3479,42.98,75,90,5.68
111,Hobyo,SO,2022-09-12 19:42:52,5.3505,48.5268,76.62,88,91,25.79
112,Te Anau,NZ,2022-09-12 19:42:52,-45.4167,167.7167,39.07,95,100,3.36
113,Severo-Kurilsk,RU,2022-09-12 19:42:52,50.6789,156.125,54.59,71,100,3.29
114,Reoti,IN,2022-09-12 19:42:53,25.85,84.3833,77.45,89,100,12.62
115,Nikolskoye,RU,2022-09-12 19:42:53,59.7035,30.7861,53.49,75,93,3.62
116,Ballina,AU,2022-09-12 19:42:53,-28.8667,153.5667,56.79,87,26,10.51
117,Luganville,VU,2022-09-12 19:42:53,-15.5333,167.1667,79.07,75,16,9.95
118,Ardon,RU,2022-09-12 19:42:54,43.17,44.29,61.79,62,0,2.28
119,Kapaa,US,2022-09-12 19:42:54,22.0752,-159.319,82.09,77,40,12.66
120,Tuktoyaktuk,CA,2022-09-12 19:42:55,69.4541,-133.0374,41.0,87,100,10.36
121,Gizo,SB,2022-09-12 19:42:55,-8.103,156.8419,80.91,72,6,6.02
122,Altay,CN,2022-09-12 19:42:55,47.8667,88.1167,47.3,43,65,3.36
123,Bonavista,CA,2022-09-12 19:42:55,48.6499,-53.1147,57.94,99,100,15.23
124,Huarmey,PE,2022-09-12 19:42:56,-10.0681,-78.1522,65.88,71,20,12.68
125,Cherskiy,RU,2022-09-12 19:42:56,68.75,161.3,39.07,91,100,6.73
126,Asau,RO,2022-09-12 19:42:56,46.4333,26.4,51.28,87,67,2.1
127,Luderitz,NA,2022-09-12 19:42:57,-26.6481,15.1594,66.2,31,14,19.24
128,Vaitape,PF,2022-09-12 19:42:57,-16.5167,-151.75,77.27,78,59,18.32
129,Yeysk,RU,2022-09-12 19:42:57,46.6989,38.2792,63.72,90,100,10.76
130,Saint George,US,2022-09-12 19:41:37,37.1041,-113.5841,88.63,38,20,5.99
131,Tecoanapa,MX,2022-09-12 19:42:58,16.5167,-98.75,81.37,80,99,7.47
132,Bubaque,GW,2022-09-12 19:42:58,11.2833,-15.8333,80.82,79,85,17.25
133,Paka,MY,2022-09-12 19:42:58,4.6374,103.4368,75.13,100,88,0.0
134,Nong Kung Si,TH,2022-09-12 19:42:59,16.65,103.3,78.82,99,10,2.53
